video_id,author,message,published_at
NntsBHLRtdM,Christopher Marlowe,I say they get no more subsidies they get no more free stuff from us. sounds fair to me game on,2025-03-20T00:57:29.631048+08:00
NntsBHLRtdM,parallelsuns1,"Greenland is Danish, deal with it",2025-03-20T00:57:30.732965+08:00
NntsBHLRtdM,deb s,king Charles has cancelled trumps visit to uk 🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧,2025-03-20T00:57:30.944185+08:00
NntsBHLRtdM,10StringHarp,"Tell them what an AI Bot in the chat can do, please..",2025-03-20T00:57:31.645379+08:00
NntsBHLRtdM,The American Day,following a leader is so woke and so gay!,2025-03-20T00:57:31.934042+08:00
NntsBHLRtdM,William Mcdonald,"More than US $1.98 billion worth of timber has been imported from Russia, with 10 of the country’s wealthiest oligarchs and closest allies to Putin profiteering from the United States’ lapsed sanction",2025-03-20T00:57:32.547878+08:00
NntsBHLRtdM,Frank J,MAGA 🍟,2025-03-20T00:57:32.681469+08:00
NntsBHLRtdM,Joni,she was puttin on lipstick for like 5 minutes lol,2025-03-20T00:57:34.918957+08:00
NntsBHLRtdM,Test MR,FOR THOSE SEEING BOT MESSAGES: The fix is to hit ALT+F2 then Enter afterwards. This will disable the bots for Windows users. For Android hold your power button 30 seconds,2025-03-20T00:57:35.191404+08:00
NntsBHLRtdM,KenR (KenRa214),I feel sorry for the true American people still fighting and protesting against this foolish administration. Having an incompetent low-level press secretary like Karoline Leavitt at the White House,2025-03-20T00:57:35.225304+08:00
NntsBHLRtdM,Jeep life ,America First 🇺🇸,2025-03-20T00:57:35.879196+08:00
NntsBHLRtdM,Ryan H,justin eichorn (R) is a chomo. 🇺🇸,2025-03-20T00:57:36.476435+08:00
NntsBHLRtdM,Bob,my hearing aid isn't working,2025-03-20T00:57:36.641267+08:00
NntsBHLRtdM,Jonny G,when our tax dollars paid for it... IT'S CALLED THE AMERICAN SPACE STATION &THE GOLF OF AMERICA 💪💪 GET USED TO IT 💪💪😘😘,2025-03-20T00:57:36.893837+08:00
NntsBHLRtdM,KarmaWolf63,French's mustard is now Uncle Sam mustard!,2025-03-20T00:57:36.904249+08:00
NntsBHLRtdM,Markus G,Time for the Epstein files? 😀,2025-03-20T00:57:38.638374+08:00
NntsBHLRtdM,Lee,no shes mine!! :))),2025-03-20T00:57:38.918558+08:00
NntsBHLRtdM,William Heald,"Everyone sit down, behave, and you will be called on soon.",2025-03-20T00:57:38.931863+08:00
NntsBHLRtdM,Ihnihnin,😡💻🤖🤖🤖🤖,2025-03-20T00:57:39.761276+08:00
NntsBHLRtdM,Peanut,American Ingenuity,2025-03-20T00:57:39.942915+08:00
NntsBHLRtdM,Boomhauer ,Michigan beat Ohio State 13-10,2025-03-20T00:57:39.989717+08:00
NntsBHLRtdM,parrisc84,":face-blue-smiling:Trump just renamed 'French Fries' to ""American Fries"":face-blue-smiling:",2025-03-20T00:57:40.546997+08:00
NntsBHLRtdM,SpongeB🏝️,MAGA 💪🇺🇸,2025-03-20T00:57:42.010387+08:00
NntsBHLRtdM,I'm The One,Warning there are A.I. bots in these chats.Warning there are A.I. bots in these chats.Warning there are A.I. bots in these chats.Warning there are A.I. bots in these chats.,2025-03-20T00:57:42.396284+08:00
NntsBHLRtdM,Robin Dickman,I'm going to the gulf of America soon and I'm wearing an America flag swimsuit,2025-03-20T00:57:43.964587+08:00
NntsBHLRtdM,Obie Hayve,Not all Canadians are dumb enough for boycotts. That's why our Liquor Stores take away our choices to drink American.,2025-03-20T00:57:44.311994+08:00
NntsBHLRtdM,Test MR,FOR THOSE SEEING BOT MESSAGES: The fix is to hit ALT+F2 then Enter afterwards. This will disable the bots for Windows users. For Android hold your power button 30 seconds,2025-03-20T00:57:46.230823+08:00
NntsBHLRtdM,Olanna,McDonald’s closing stores through USA,2025-03-20T00:57:46.810255+08:00
NntsBHLRtdM,Jason Raspburg,"EU, UK, Canada, Australia, China, Japan, India, residents boycott USA FARMERS.",2025-03-20T00:57:47.049031+08:00
NntsBHLRtdM,Marc,unemployed in the chat,2025-03-20T00:57:47.116654+08:00
NntsBHLRtdM,Christine Bartsch,GULF OF AMERICA! GULF OF AMERICA! GULF OF AMERICA!,2025-03-20T00:57:47.678015+08:00
NntsBHLRtdM,Christopher,Ai bots,2025-03-20T00:57:48.057092+08:00
NntsBHLRtdM,Caroline Helle,"@Susanna Let me correct you, it is called Gulf of Mexico, learn it.",2025-03-20T00:57:48.762758+08:00
NntsBHLRtdM,Ryan H,gaetz- chomo 🇺🇸,2025-03-20T00:57:48.881512+08:00
NntsBHLRtdM,Scott Evans,cleavage warning,2025-03-20T00:57:49.033932+08:00
NntsBHLRtdM,Jacob H,she almost dropped that macbook lol,2025-03-20T00:57:52.068649+08:00
NntsBHLRtdM,John Doe,💍Zelensky will kiss the ring today,2025-03-20T00:57:53.459534+08:00
NntsBHLRtdM,Mary C.,quit spamming im the one,2025-03-20T00:57:54.046544+08:00
NntsBHLRtdM,Phong Pham,❌WHERE'S THE WHIKSER BISCUIT?❌❌❌❌❌❌❌❌❌,2025-03-20T00:57:54.485561+08:00
NntsBHLRtdM,SpongeB🏝️,🇺🇸:finger-red-number-one:,2025-03-20T00:57:55.340708+08:00
NntsBHLRtdM,Wanda C,Please protect us for what is coming our way🙏in the mighty name of Jesus Christ. Amen📖🕊️🙏,2025-03-20T00:57:56.288494+08:00
NntsBHLRtdM,I'm The One,Warning there are A.I. bots in these chats.Warning there are A.I. bots in these chats.Warning there are A.I. bots in these chats.Warning there are A.I. bots in these chats.,2025-03-20T00:57:57.107078+08:00
NntsBHLRtdM,Sir Mac,@I'm The One you sound like the ai weirdo,2025-03-20T00:57:57.259595+08:00
NntsBHLRtdM,Test MR,FOR THOSE SEEING BOT MESSAGES: The fix is to hit ALT+F2 then Enter afterwards. This will disable the bots for Windows users. For Android hold your power button 30 seconds,2025-03-20T00:57:57.719039+08:00
NntsBHLRtdM,Andey 0bserver.,let's go happy,2025-03-20T00:57:58.324288+08:00
NntsBHLRtdM,Yedidyah - Jed Shlomoh,@Susanna The oil pipe for the eastern half of Canada runs through the usa. The injans would not let them run the pipeline in Canada. Most canadians live within 100 miles of the usa border.,2025-03-20T00:58:00.157645+08:00
NntsBHLRtdM,Anthony D.,Watching from the Gulf of America,2025-03-20T00:58:00.562948+08:00
NntsBHLRtdM,Boomhauer ,Michigan beat Ohio State 13-10,2025-03-20T00:58:00.932897+08:00
NntsBHLRtdM,Jesus Christo,"You want to fight for it , Denmark?",2025-03-20T00:58:02.207106+08:00
NntsBHLRtdM,born twisted,HNNNNNNG,2025-03-20T00:58:05.716662+08:00
